title,released_year,duration,genre,description,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,api_error,totalSeasons,imageid,format
Rehnaa Hai Terre Dil Mein                ,2001,2h 37m  ,Romance        ,"Ready to go to any lengths to win over Reena, Maddy impersonates Rajeev, Reena’s to be fiancé. Will Reena discover the truth?",Not Rated,19 Oct 2001,160 min,"Comedy, Drama, Musical",Gautham Vasudev Menon,"Gautham Vasudev Menon, Vipul D. Shah","Madhavan, Dia Mirza, Saif Ali Khan",Madhav (Maddy) has love at first site with Reena.He finds from her friend Shruti that she is to be married to Rajiv an NRI.Maddy with the help of his friends importers as Rajiv and woes Reena and both fall in love.When the real Rajiv arrives Reena gets a shock that Maddy was posing as his impostor.When Rajiv and Maddy comes face to face they Maddy realizes that Rajiv is his college rival and war continues.,Hindi,India,1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BOGRhODRiZTctYzVhNS00ZWJmLThmZWYtMTEwYWI3MWU0ZWVlXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.5/10""}]",N/A,7.5,"9,764",tt0299108,movie,06 Mar 2007,N/A,N/A,N/A,,,0040,jpg
Nuvvu Naaku Nachav                       ,2001,2h 59m  ,Romance        ,"Venky, an unemployed youth, heads to Hyderabad to attend a wedding. A brief vacation gradually turns into something more as the soon-to-be bride falls for him.",,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0041,
Mujhe Kuch Kehna Hai                     ,2001,2h 15m  ,Romance        ,"Karan is instantly smitten with Pooja. Painfully shy, he can't express his feelings to her, but fate makes them meet repeatedly. Can he ever profess his love?",,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0042,
Pyaar Tune Kya Kiya                      ,2001,1h 36m  ,Thriller       ,"Jai, a photographer, meets headstrong Ria. Unaware of his marital status, she falls for him. Soon her love takes an obsessive turn.",Not Rated,27 Apr 2001,123 min,"Drama, Romance, Thriller",Rajat Mukherjee,"Rajat Mukherjee, Rajnish Thakur","Fardeen Khan, Ravi Baswani, Kannu Gill","Ria Jaiswal lives a very wealthy lifestyle along with her mom and dad. As she is the only child in this family, her parents dot on her and give in to her every wish. As a child she saw a toy on TV and asked her dad to get it. When he told her that he was unable to do, she stopped speaking and eating - until her dad somehow managed to get the toy from America. Subsequently, Ria's mom passed away. Years later, Ria has now grown up to be a very attractive young woman. She meets with Jai, a photographer from Style Magazine, she models and is very attracted to him. She tells her dad that she wants to get married and goes to Jai's house to get him to meet her dad. When she reaches his house in Lokhandwala Complex, she finds out that he is already married to a woman named Geeta, and very much in love with her. A betrayed Ria, unable to get Jai out of her mind, obsesses over him - and decides that he and she are meant for each other - and sets about to carry her task - to force Jai to accept her - by hook or by crook.",Hindi,India,1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BODVjNzhlYWYtOTQ2NC00NDQ1LWI1MjgtNDdiMjVmMDY5ZTRmXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.7/10""}]",N/A,5.7,976,tt0281102,movie,N/A,N/A,N/A,N/A,,,0043,jpg
Om Jai Jagdish                           ,2002,2h 30m  ,Family         ,"Circumstances force three brothers to go their separate ways, but when their ancestral house is being auctioned they join forces.",,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0044,
Humraaz                                  ,2002,2h 47m  ,Thriller       ,"Karan conspires with his girlfriend Priya to usurp the vast estate of Raj, a wealthy industrialist. Chaos ensues when Priya falls in love with Raj.",Not Rated,26 Jul 2002,173 min,"Romance, Thriller","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shiraz Ahmed, Shyam Goel","Bobby Deol, Akshaye Khanna, Ameesha Patel",Karan and Priya are part of a dance group and love each other they auditioned to perform on a cruise ship owned by Raj Singhania.But fellow competitor Jojo wins the competition by cheating.Raj goes to comfort him but he tells him to accept the defeat where in a fight breaks between the two and Jojo dies.Next day Karan gets a call that due to Jojo's sudden death they have been selected to perform on the cruise.Raj Singhania happens to attend their show and gets inspired by Priya they start meeting and become close to each other which makes Karan jealous.On Priya's birthday Raj proposes her for marriage and she accepts it.Priya goes to tell the news to an upset Karan and they both are happy as she is getting married to Raj as their plan has worked accordingly.Karan and Priya always eyed on Raj's wealth and Priya will take a share in his property and divorce Raj soon after their marriage.,Hindi,India,2 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BNzU2ZDdmMzktYmY4Ny00NDZkLTgwMDctMDM4YWE2YjA3NTVhXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.4/10""}]",N/A,6.4,"3,927",tt0326576,movie,N/A,N/A,N/A,N/A,,,0045,jpg
Jeena Sirf Merre Liye                    ,2002,2h 18m  ,Romance        ,"Pooja and Karan are childhood friends. They lose touch when Pooja relocates. All grown up, they meet as strangers while searching for each other.",Not Rated,20 Nov 2002,137 min,"Comedy, Romance",Talat Jani,"Bolu Khan, Aman Jaffery, Rumi Jaffery","Kareena Kapoor, Tusshar Kapoor, Mallika Sherawat","Pinky alias Pooja Malhotra (Kareena Kapoor) and Karan (Tusshar Kapoor) are childhood sweethearts. During this time they exchange vows that they will live for each other only. They separate shortly after but they do not forget their vows. Pooja frantically searches for her sweetheart, but to no avail. She finally decides to write her own story in a the form of a love story. This story turns out to be very popular, and Pooja does get to meet Karan, only to find out that he has a girlfriend by the name of Seema.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTQzOTQwNTM4OV5BMl5BanBnXkFtZTcwNjgyOTQyMQ@@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""3.9/10""}]",N/A,3.9,874,tt0337652,movie,N/A,N/A,N/A,N/A,,,0046,jpg
Manmadhudu                               ,2002,2h 22m  ,Comedy         ,"A man who despises women is forced to work with an attractive and smart woman. Will his attempts to get her to quit the job be successful, or will Cupid strike?",N/A,20 Dec 2002,142 min,"Comedy, Romance",Vijay K. Bhaskar,"Vijay K. Bhaskar, Trivikram Srinivas","Nagarjuna Akkineni, Sonali Bendre, Anshu","Abhiram is a manager in his own ad agency. He hates women and he feels that all women are traitors. Abhiram's uncle, who is the chairman of the ad agency, appoints Harika as an assistant manager. Though Abhiram does not like a girl joining his company, he has to live with it as the appointment is made by his uncle. He starts mistreating her. Harika, vexed by Abhirams acts, submits her resignation to Abhi's uncle, who then narrates the flashback of Abhiram to Harika.",Telugu,India,2 wins,https://m.media-amazon.com/images/M/MV5BMDczNDg5N2UtMDNiMS00YzFkLTgyOWMtZjdiYWMxNTNjMGYwXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.3/10""}]",N/A,8.3,"4,411",tt0355742,movie,N/A,N/A,N/A,N/A,,,0047,jpg
Hungama                                  ,2003,2h 22m  ,Comedy         ,Three misfits find their lives intertwined with desi millionaire Radheshyam Tiwari in a case of mistaken identities that ignites a comedy of errors.,Not Rated,01 Aug 2003,153 min,"Comedy, Drama, Romance",Priyadarshan,"Priyadarshan, Neeraj Vora, Jay Master","Akshaye Khanna, Aftab Shivdasani, Rimi Sen","The story of a bunch of misfits whose misconception about each others backgrounds end up in a series of chaotic, yet comic outcomes. Aftab and Rimi play two strangers who have to pretend that are a married couple in order to get a place to live. Paresh Rawal plays a rich, yet ground to earth businessman whose business is named after his wife Anjali. Akshaye Khanna plays a young man starting a new business in electronic ware. Things get complicated when Rimi Sen goes to Paresh Rawal's house in search of a job &amp; meets Akshaye Khanna who falls in love with her thinking she is Paresh Rawal's daughter. Paresh Rawal's wife thinks that he is having an affair with Rimi Sen &amp; while Paresh Rawal thinks his wife is having an affair with Akshaye Khanna due to Rimi Sen and her having the same name. Then comes in Shakti Kapoor whose daughter falls in love with a guy pretending to be Paresh Rawal's son and soon everything gets out of control.",Hindi,India,3 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BZTg2NDVmMmEtODMxOS00N2NiLWE4NmYtZDFlNzRjOTIzOGRlXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",N/A,7.6,"17,227",tt0371735,movie,N/A,N/A,N/A,N/A,,,0048,jpg
Santrash                                 ,2003,2h 17m  ,Thriller       ,"Shubhankar is on a quest of a man, who can help him avenge the murder of his brother at the hands of a corrupt minister.",N/A,N/A,N/A,Thriller,Naryan Roy,"Anjan Choudhury, Naryan Roy","Pushpita Banerjee, Jayanta Dutta Barman, Rahul Barman",N/A,Bengali,India,N/A,N/A,[],N/A,N/A,N/A,tt34064595,movie,N/A,N/A,N/A,N/A,,,0049,
Baghban                                  ,2003,2h 50m  ,Drama          ,Elderly couple Raj and Priya wish for their children to take care of them. But what they got in return was a lot of pain.,Not Rated,03 Oct 2003,181 min,"Drama, Romance",Ravi Chopra,"Shafiq Ansari, Satish Bhatnagar, B.R. Chopra","Amitabh Bachchan, Hema Malini, Salman Khan","Raj Malhotra and wife Pooja have four sons. The sons have settled down professionally and are quite independent. However, when Raj Malhotra retires, none of his children want to be burdened with the responsibility of taking care of their parents. Strangely, it is the adopted son who proves to be the most kind hearted of them all. Salman's girlfriend eventually marries him. The question is, will Raj and Pooja's sons learn the folly of their ways and turn over a new leaf?","Hindi, Awadhi",India,3 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BMjA2NTEyODY4Ml5BMl5BanBnXkFtZTcwOTk2ODgzMQ@@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.4/10""}]",N/A,7.4,"17,875",tt0337578,movie,N/A,"$1,058,803",N/A,N/A,,,0050,jpg
Zameen                                   ,2003,1h 58m  ,Action         ,"When an Indian plane is hijacked by terrorists, a strict army man must forget his past and team up with a diligent ACP to plan a rescue mission.",N/A,26 Sep 2003,154 min,"Action, Adventure, Thriller",Rohit Shetty,"Robin Bhatt, Javed Siddiqui, Suparn Varma","Ajay Devgn, Abhishek Bachchan, Bipasha Basu","Islamic terrorists, backed by Pakistan, boldly attack the Indian Parliament building. The Indian army assigns this matter to Colonel Ranvir Singh Ranawat, who along with his men, apprehends and arrests the ring-leader Baba Zaheer Khan. The Colonel takes one of his subordinates, Jaideep Rai, to task as nine soldiers were killed due to his negligence, and asks him to resign. An Islamic terrorist group, Al-Tahit, recruits a group of men to try and spring Baba from prison, albeit in vain as their plans are thwarted by Jaideep, who is now the ACP in Mumbai. On the run from the Police, this group hijacks an Indian Airlines plane, en-route from Mumbai to Kathmandu, with Jaideep's wife, Nandini, an In-Flight Supervisor, on board. The plane, with 107 passengers and crew, is re-routed to Kazan in Pakistan Occupied Kashmir where they are met with more armed terrorists as well as the Pakistani army. Together they demand the release of Baba Zaheer in exchange for the lives of the passengers. The Army and Police in India collaborate and both Ranvir and Jaideep are asked to work together. Ranvir is weary of Jaideep's capabilities, and Jaideep is investigating Ranvir and his men - who are suspected of supplying arms and munitions to terrorists and Pakistanis. The duo nevertheless work out a plan to free the hostages and apprehend the terrorists. What they do not know is that their plan has already been compromised, and they may well be headed to their respective deaths.",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BN2NkZTg3M2EtZGJmNC00ODdlLWI0OTAtOGJjYjdhMDg0ZjNiXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.4/10""}]",N/A,5.4,"1,722",tt0382385,movie,N/A,N/A,N/A,N/A,,,0051,jpg
Krishna Cottage                          ,2004,2h 1m   ,Horror         ,"On a wintry night, a group of college students take shelter at the deserted Krishna Cottage. But they feel a menacing presence that’s keeping a watch.",Not Rated,02 Apr 2004,124 min,"Horror, Mystery, Romance",Santram Varma,Abhigyan Jha,"Sohail Khan, Isha Koppikar, Anita Hassanandani Reddy","During the year 1990 Professor-Author Siddharth Das releases his first book 'Kahi Unkahi Baatein' which contain a total of 10 short stories albeit with the last story 'Krishna Cottage' without any ending. A total of fifty thousand copies are printed and distributed to five different cities in India. Three trucks carrying these copies meet with mysterious accidents, two toppling off cliffs, and one catching fire; and one ship sinks losing it's entire consignment. One copy of this book is found and kept under lock and key in the store-room of J.C. College. Then in 2002 collegians Akshay, Kabir, Nupur, Pulit, Shanti, and Manav, induct new-comer, Disha, to their group, and also invite her to the engagement ceremony of Shanti and Manav. The group will soon find out that her induction will set loose a chain of events that will throw their lives in jeopardy as she may be a ferocious shape-changing entity that is out to claim her lover, Amar Khanna, from a past life, and also prevent anyone from reading the last chapter of Professor Das' book.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNDIzZGM3OGEtZDkwOS00ZTUyLTkzZjctNmQzMTcxYjkyNTRjXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.2/10""}]",N/A,5.2,"1,510",tt0408976,movie,N/A,N/A,N/A,N/A,,,0052,jpg
Chameli                                  ,2004,1h 26m  ,Drama          ,"On a stormy night, a sudden encounter with Chameli, a prostitute changes the life of a depressed investment banker, forever.",,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0053,
Anand                                    ,2004,2h 31m  ,Drama          ,"Roopa calls off her wedding after her parents die in an accident. However, things change when the son of the man who caused the accident moves in next door.",N/A,15 Oct 2004,180 min,"Comedy, Drama, Romance",Sekhar Kammula,Sekhar Kammula,"Raja, Kamalinee Mukherjee, Anuj Gurwara","A rich guy falls in love with an independent and strong-minded girl, and moves into her simple neighborhood to earn her love.",Telugu,India,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZGE2YjBjOTUtMzNmMy00YzM0LTg5Y2MtYmNmZTY2YTA5YjQxXkEyXkFqcGdeQXVyOTA3MTM0MTM@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.0/10""}]",N/A,8.0,"2,288",tt0857300,movie,N/A,N/A,N/A,N/A,,,0054,
Julie                                    ,2004,1h 48m  ,Drama          ,"A victim of circumstances, disillusioned Julie becomes a call girl. She meets Mihir, and they fall in love. Will he accept her for what she is?",Not Rated,23 Jul 2004,144 min,"Drama, Romance",Deepak S. Shivdasani,"Nishikant Kamat, Sanjay Pawar, Deepak S. Shivdasani","Neha Dhupia, Priyanshu Chatterjee, Yash Tonk","Mihir Shandilya is a multi-millionaire bachelor, who at a very young age is an icon of the new-aged India. A television channel invites celebrities for their programs, and Mihir is being interviewed. On being questioned on his potential life partner, Mihir confesses his love life on a record program that there is a woman in his life to whom he wants to propose marriage. The hosts respects his views and invites them for the show. Mihir, is on a business trip abroad, wants Julie to accept him as her husband and expects an affirmative answer once he is back. Julie is unnerved by the program, and want to be on the same program, and talk about herself to the viewers. She wants to confess that she is a prostitute, a fact that Mihir, and his family members are unaware of. Mihir was amused that his lover had confessed about her life so publicly, and after his initial indignation, had only one thing to say, 'If you truly love then set it free because if its meant to be it shall come back to you'. Julie finally finds her true love that is willing to stand by her under any circumstances.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNjBhYzMxZjAtZTA2NS00ZGRlLTg3NTktODc4NGQ4MjFhZGNjXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.1/10""}]",N/A,4.1,473,tt0421277,movie,N/A,N/A,N/A,N/A,,,0055,jpg
Taarzan: The Wonder Car                  ,2004,2h 36m  ,Action         ,"Raj repairs his deceased father Deven's unfinished car. Although a futuristic vehicle, it becomes too much for Raj to handle.",Not Rated,06 Aug 2004,163 min,"Action, Adventure, Drama","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Lalit Mahajan,"Ajay Devgn, Vatsal Sheth, Ayesha Takia","Devesh (Ajay Devgan) was Raj's father who was a futuristic car designer. He owned an old car, which was passed down to him from his father and he hoped to pass it on to his son, Raj. After many hours designing, he shows his design to a car company owned by four men (Pankaj Dheer, Sadashiv Amrapurkar, Shakti Kapoor and Mukesh Tiwari), little did he know that they would turn around and patent the design and take credit for it. In an attempt to get justice, Devesh reports the incident to the police and later finds out the hard way that the police officer was part of the deception. After Devesh confronts the men, they fight and Devesh is knocked out and left unconscious. The men decide to place him in his car and dump the car in the nearby lake. Devesh drowns to death leaving behind his mother and his young son. A few years pass by and Raj has grown up and enters college. Raj is a simple looking, geeky guy who is made fun of because of the way he looks. He meets Priya (Ayesha Takia) who has just returned from London and together they form a relationship. One day while passing by Raj sees his father's old car in a scrap yard. He buys the car and transforms it into ""Tarzan"", a futuristic looking car that he builds in memory of his father. The car has a life of its' own and soon becomes a killing machine, taking revenge on the men who killed Devesh. The suspicion falls on Raj and he becomes the prime suspect. While visiting Raj's home, Priya's father sees a photo of Devesh and Raj and realizes who Raj is. Priya's father is one of the men who killed Raj's father. He forbids Priya from seeing Raj and decides to send her back to London. The climax of the movie is where you learn that Devesh's spirit controls the car and he cannot move on to the after world unless he gets revenge and his family learns the truth about his death. After he accomplishes both tasks, his soul is free and he moves on. Raj and Priya unite and all ends well.",Hindi,India,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BZjczNzdkNzEtOGFjYy00MDJhLWI4ZjEtMmRmNjdlMGNlZmEyXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.8/10""}]",N/A,4.8,"5,647",tt0435437,movie,N/A,N/A,N/A,N/A,,,0056,jpg
Maine Pyaar Kyun Kiya                    ,2005,2h 16m  ,Comedy         ,"To win over Sonia’s love, Samir spins up the story of his failed marriage and seeks sympathy. But chaos ensues when she insists on meeting his wife.",N/A,15 Jul 2005,145 min,"Comedy, Drama, Romance",David Dhawan,"Sanjay Chhel, Rumi Jaffery, Sameer","Salman Khan, Sushmita Sen, Katrina Kaif","Samir is a very successful doctor: He not only looks after his patient's various maladies, but also looks after his female patients' hearts. Most women fall for him and his irresistible charms. The only person who has not fallen for him is his dutiful nurse Naina. Whenever a girl gets too close to Samir and starts talking about marriage, he sends her off by telling her he is already married. However, one day, he meets Sonia, a beautiful young woman and Samir is smitten. When she learns of his 'wife', she wants to meet her -- and Samir introduces Naina, as well as her niece and nephew, as his wife and children. Samir then arranges a fake divorce from a fake wife with the help of his best friend, lawyer Vicky who, despite having a steady girlfriend, frequently flirts with Naina. To complicate things further, Samir's mother suddenly appears and doesn't want her son get divorced from Naina (when he isn't married to her in the first place). And then, there is Sonia's neighbor Pyare, who does not want Sonia to marry Samir: he wants Sonia for his own and she seems to like him, too. The web of lies around everyone grows thicker and thicker, but finally, Samir is able to marry Sonia. Will this marriage takes place? Or will Sonia learns the truth about Samir and cancels the wedding?",Hindi,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BY2JlM2Y1ZjAtNDhlMS00MTQ0LWI3MWEtNjAyZmM4ZGY4ZTA5XkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.6/10""}]",N/A,5.6,"5,952",tt0451803,movie,N/A,N/A,N/A,N/A,,,0057,jpg
Shabd                                    ,2005,2h 22m  ,Drama          ,"Seeking an inspiration for a story, Shaukat manipulates the lives of his wife and her colleague. Soon, his obsession with the story blurs Shaukat's reality.",N/A,04 Feb 2005,140 min,"Drama, Thriller",Leena Yadav,"Sutapa Sikdar, Leena Yadav","Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan","A story of Shaukat, a gifted writer who's reeling from the failure of his last novel. Antara, his reserved and sensitive wife supports him indisputably. To regain his command on writing, Shaukat decides to incorporate his story into his real life and subsequently slot the twists and turns of the real life incidents into his story.",Hindi,India,2 nominations,https://m.media-amazon.com/images/M/MV5BY2UyMWEwYjAtYmEwNS00ZTczLWIzYWUtZjVjYzY3NTM2YzNlXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.1/10""}]",N/A,5.1,"1,541",tt0409527,movie,N/A,N/A,N/A,N/A,,,0058,jpg
Tango Charlie                            ,2005,2h 11m  ,Action         ,"Tarun, a rookie BSF officer, learns patriotism and brotherhood as well as the heavy cost of war from his comrade, Havaldar Mohammed Ali. This internationally acclaimed anti-war film follows the lives of BSF soldier Tarun Chauhan (Bobby Deol) and stars Sanjay Dutt, Suniel Shetty and Ajay Devgn as armed forces officers involved in military operations across the country.",Not Rated,25 Mar 2005,142 min,"Action, Adventure, Drama",Mani Shankar,Mani Shankar,"Bobby Deol, Ajay Devgn, Sanjay Dutt","Indian Army Sepoy Tarun Chauhan is assigned to proceed to Northeastern part of India that has been rocked by riots and violence with orders to report to his superior, Havaldar Mohammed Ali. Once there, he comes to know that things can be quiet for weeks, following by sporadic violence, and casualties on both sides. His group also comes under attack by vicious terrorists, who like to cut an ear from a dead body, then leave the body as bait, in order to kill anyone who comes to the rescue. This is where Tarun makes his first kill. Then they are instructed to proceed to Bengal in order to counter Naxalities, where Tarun gets to see action almost immediately. Then war breaks out between India and Pakistan and their group is asked to travel to Kargil and guard a bridge. This is where Tarun will face his biggest challenge - a challenge that will make him a true soldier or lead him to his death.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZGE5MDUwZDgtMzcxOS00ODZkLTk5NTQtMDY2MTY5ZTAzZmEzXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.1/10""}]",N/A,6.1,"2,345",tt0444913,movie,N/A,N/A,N/A,N/A,,,0059,
Athadu                                   ,2005,2h 52m  ,Action         ,"When an innocent person Pardhu dies instead of Nandu, a hitman and ends up at the victim's house, he is mistaken to be Pardhu. How long will the deception last?",Not Rated,10 Aug 2005,172 min,"Action, Crime, Drama",Trivikram Srinivas,Trivikram Srinivas,"Mahesh Babu, Trisha Krishnan, Sonu Sood","To receive a sympathy vote, a crooked politician plans his own assassination attempt. Nandu is hired to merely wound the politician, but someone else pulls the trigger first. Framed for murder, Nandu flees and meets Pardhu, a man returning home after a long absence. The young man is killed in the police crossfire meant for Nandu. Nandu assumes Pardhu's identity and his new ""cousin"" has a romantic interest in him...",Telugu,India,4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BYzU5YmY2NzQtZTVhZS00ZDQyLWI1YTQtZTI4MzYxOTcxMmM3XkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.2/10""}]",N/A,8.2,"15,313",tt0471571,movie,N/A,N/A,N/A,N/A,,,0060,jpg
Garam Masala                             ,2005,2h 17m  ,Comedy         ,"Mac, a womaniser, is dating three ladies at the same time. Chaos ensues when Shyam, once Mac’s best friend and now a sworn enemy, decides to disrupt his life.",Not Rated,03 Nov 2005,146 min,"Comedy, Romance",Priyadarshan,"Priyadarshan, Neeraj Vora, Jay Master","Akshay Kumar, John Abraham, Paresh Rawal",A rib tickling tale of two flirts who constantly flirt with women despite one of them being engaged. Chaos ensues when the fiancé finds out that her to-be groom is cheating on her.,Hindi,India,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ5YmIxNWMtZDkxYy00YjYwLWIwYWYtZGQ3OGRkNDY3Y2E3XkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}]",N/A,6.8,"18,598",tt0453671,movie,N/A,"$1,007,943",N/A,N/A,,,0061,jpg
Chatrapathi                              ,2005,2h 39m  ,Action         ,"Shivaji, a Sri Lankan Tamil, lands in Vizag after political upheaval in his hometown. The situation worsens when his jealous stepbrother enters his life.",Not Rated,30 Sep 2005,158 min,"Action, Drama",S.S. Rajamouli,"Vijayendra Prasad, S.S. Rajamouli, M. Rathnam","Prabhas, Bhanupriya, Shriya Saran","Sivaji is a young kid from Sri Lanka who's family consisting of a mother and brother Ashok is uprooted from their community in Sri Lanka ends up in Vizag, Andhra Pradesh. There they are unjustly forced into work by a local mob boss named Baji Rao who forces them to work in transportation of illegal goods. Their lives are in constant hell because of the torture and unfair demands Baji Rao puts on them. Finally unable to bear the injustices by Baji Rao, Sivaji rises and turns into Chatrapati filling in the legend of the original Chatrapati who rose up and led the people against the Mughal emperor Aurangazeb and reunites with his mother.",Telugu,India,2 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BNTdiNjg2ZGEtNmEwNy00NDdiLTgzNGEtMTNkZjIzYTI5NDc5XkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",N/A,7.6,"5,484",tt0843328,movie,N/A,N/A,N/A,N/A,,,0062,
Lucky: No Time For Love                  ,2005,2h 13m  ,Drama          ,"After narrowly escaping a molester, Lucky seeks shelter in Aditya’s car. Chaos ensues when a terrorist attack breaks out, but the two stand by each other.",Not Rated,08 Apr 2005,180 min,"Musical, Drama, Romance","Radhika Rao, Vinay Sapru","Radhika Rao, Vinay Sapru, Milap Zaveri","Salman Khan, Sneha Ullal, Mithun Chakraborty","Mr. Sekhri is the Indian Ambassador in Russia, and his Chief Assistant is Mr. Negi. Sekhri is widowed with a son named Aditya, while Negi is married and has brought his wife, Anjali, and two daughters, Lucky and Dhara, with him to Russia. One day while going to school, Lucky's bicycle has a flat tire, and she ends up being molested by a young Russian. She manages to escape and hide in a parked car, and the molester is chased away by the car's owner - who is none other than Aditya. Unaware of his ""cargo"", Aditya drives the car to meet his father, until he is stopped at a check-post. That's when he finds out that Lucky is on board. Then terrorists strike out with bombs and guns, and chaos breaks lose, the telephone lines are down, and there is no electricity. Aditya and Lucky manage to escape and hide in an isolated graveyard. Meanwhile, Sekhri and Negi recruit a private investigator, retired Colonel Pindi Das Kapoor, to locate their children, which he agrees to do so. Before he can locate them, Aditya finds out that Lucky has consumed contaminated water, is poisoned, and with communications down - looks like Lucky's luck has finally run out.",Hindi,India,5 nominations,https://m.media-amazon.com/images/M/MV5BNTJiYmQ2N2QtZjFmZi00Y2ZjLWI4NDQtYzdmYmRkY2FiMDFjXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.6/10""}]",N/A,4.6,"3,897",tt0449306,movie,N/A,"$453,507",N/A,N/A,,,0063,jpg
Kya Kool Hai Hum                         ,2005,2h 26m  ,Comedy         ,Hard-working Rahul and good-for-nothing Karan's lives turn upside down when Rahul is accused of the rape and murder spree happening in the city.,,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0064,
Pokiri                                   ,2006,2h 32m  ,Action         ,"Pandu, a thug, takes assignments from local dons to make money and woo Shruthi. However, he discovers a shocking truth about himself.",Not Rated,27 Apr 2006,164 min,"Action, Crime, Thriller",Puri Jagannadh,Puri Jagannadh,"Mahesh Babu, Ileana D'Cruz, Prakash Raj","Pandu is a killer for hire, and will accept any contract provided the amount is right. The Police want him for questioning, while the underworld needs him to silence their opponents. No one really knows this assassin's background. It is only Pandu who knows his real identity and he has no intention of sharing it with anyone.",Telugu,India,7 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNGEwOWUzNmYtYzE0MC00ZTk2LWI0NjAtMTIxMTRhMWQyYmU4XkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""8.0/10""}]",N/A,8.0,"15,933",tt0816258,movie,N/A,N/A,N/A,N/A,,,0065,jpg
